Category,Description,Cholesterol,Sugar
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,JR",4,1.360000014
BABYFOOD,"BABYFOOD,DINNER,VEG&TURKEY,TODD",0,0
BABYFOOD,"BABYFOOD,DINNER,MACARONI&CHS,STR",7,1.269999981
BABYFOOD,"BABYFOOD,DINNER,MACARONI&CHS,JR",6,1.320000052
BABYFOOD,"BABYFOOD,VEG,GRN BNS,STR",0,1.879999995
BABYFOOD,"BABYFOOD,VEG,GRN BNS,JR",0,1.080000043
BABYFOOD,"BABYFOOD,GRN BNS,DICES,TODD",0,1.059999943
BABYFOOD,"BABYFOOD,VEG,GRN BNS&POTATOES",5,2.349999905
BABYFOOD,"BABYFOOD,VEG,BEETS,STR",0,6.090000153
BABYFOOD,"BABYFOOD,VEG,CARROTS,STR",0,3.640000105
BABYFOOD,"BABYFOOD,VEG,CARROTS,JR",0,3.160000086
Babyfood,"Babyfood, vegetables, squash, strained",0,3.369999886
BABYFOOD,"BABYFOOD,VEG,SQUASH,JR",0,3.24000001
BABYFOOD,"BABYFOOD,VEG,SWT POTATOES,STR",0,4.050000191
BABYFOOD,"BABYFOOD,VEG,SWT POTATOES,JR",0,4.239999771
BABYFOOD,"BABYFOOD,POTATOES,TODDLER",0,0.910000026
BABYFOOD,"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN",0,2.930000067
BABYFOOD,"BABYFOOD,APPLS,DICES,TODD",0,10.82999992
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC,STR",0,9.869999886
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC,JR",0,8.479999542
BABYFOOD,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR",0,1.409999967
BABYFOOD,"BABYFOOD,VEG,CORN,CRMD,STR",1,1.230000019
BABYFOOD,"BABYFOOD,VEG,CORN,CRMD,JR",1,1.480000019
BABYFOOD,"BABYFOOD,VEG,PEAS,STR",0,2.00999999
BABYFOOD,"BABYFOOD,PEAS,DICES,TODD",0,4.130000114
BABYFOOD,"BABYFOOD,VEG,SPINACH,CRMD,STR",5,2.329999924
BABYFOOD,"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR",0,1.399999976
BABYFOOD,"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR",0,0.379999995
BABYFOOD,"BABYFOOD,FRUIT,PEACHES,STR",0,11.5
BABYFOOD,"BABYFOOD,FRUIT,PEACHES,JR",0,11.5
BABYFOOD,"BABYFOOD,FRUIT,PEARS,STR",0,6.980000019
BABYFOOD,"BABYFOOD,FRUIT,PEARS,JR",0,7.340000153
BABYFOOD,"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR",0,13.34000015
BABYFOOD,"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR",0,13.64000034
BABYFOOD,"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR",0,10.97000027
BABYFOOD,"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR",0,10.97000027
BABYFOOD,"BABYFOOD,PRUNES,WO/VIT C,STR",0,21.20999908
BABYFOOD,"BABYFOOD,FRUIT DSSRT,MANGO W/ TAPIOCA",0,13
BABYFOOD,"BABYFOOD,PEARS,DICES,TODD",0,8.659999847
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR",0,9.25
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR",0,8.720000267
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR",0,10.81000042
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,JR",0,10.60999966
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR",0,4.349999905
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR",0,0
BABYFOOD,"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,JR",0,0
BABYFOOD,"BABYFOOD,FRUIT,APPL & RASPBERRY,STR",0,12.96000004
BABYFOOD,"BABYFOOD,FRUIT,APPL & RASPBERRY,JR",0,12.96000004
BABYFOOD,"BABYFOOD,FRUIT & VEG,APPL & SWT POTATO",0,11.60000038
BABYFOOD,"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR",0,8.409999847
BABYFOOD,"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,STR",0,10.72999954
BABYFOOD,"BABYFOOD,FRUIT,PEARS&PNAPPL,STR",0,7.789999962
BABYFOOD,"BABYFOOD,FRUIT,PEARS&PNAPPL,JR",0,7.360000134
BABYFOOD,"BABYFOOD,FRUIT,GUAVA&PAPAYA W/TAPIOCA,STR",0,0
BABYFOOD,"BABYFOOD,PEACHES,DICES,TODD",0,9.489999771
BABYFOOD,"BABYFOOD,FRUIT,PAPAYA&APPLSAUC W/TAPIOCA,STR",0,0
BABYFOOD,"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR",0,12.76000023
BABYFOOD,"BABYFOOD,FRUIT,APPL&BLUEBERRY,STR",0,13.93000031
BABYFOOD,"BABYFOOD,FRUIT,APPL&BLUEBERRY,JR",0,8.829999924
BABYFOOD,"BABYFOOD,JUICE,APPLE",0,10.69999981
BABYFOOD,"BABYFOOD,APPLE-BANANA JUC",0,11
BABYFOOD,"BABYFOOD,JUC,APPL&PEACH",0,9.590000153
BABYFOOD,"BABYFOOD,APPLE-CRANBERRY JUC",0,6.880000114
BABYFOOD,"BABYFOOD,JUC,APPL&PLUM",0,11.53999996
BABYFOOD,"BABYFOOD,JUC,APPL&PRUNE",0,10.57999992
BABYFOOD,"BABYFOOD,JUICE,ORANGE",0,8.260000229
BABYFOOD,"BABYFOOD,JUC,ORANGE&APPL",0,0
BABYFOOD,"BABYFOOD,JUC,ORANGE&APPL&BANANA",0,10.02999973
BABYFOOD,"BABYFOOD,JUC,ORANGE&APRICOT",0,0
BABYFOOD,"BABYFOOD,JUC,ORANGE&BANANA",0,0
BABYFOOD,"BABYFOOD,JUC,ORANGE&PNAPPL",0,0
BABYFOOD,"BABYFOOD,JUC,PRUNE&ORANGE",0,0
BABYFOOD,"BABYFOOD,JUC,MXD FRUIT",0,8.460000038
BABYFOOD,"BABYFOOD,CRL,BARLEY,DRY",0,3.099999905
BABYFOOD,"BABYFOOD,CRL,WHL WHEAT,W/APPLS,DRY",0,22.20000076
BABYFOOD,"BABYFOOD,CEREAL,MIXED,DRY",0,0.870000005
